gid,주차장,lon,lat,건물1,건물2,건물3,관공서,전기차,충전소,변압기,전기안전관리관,교통량,경제인구,sum,순위
다사70aa56bb,0,0,0,0.0,2.0,0.0,0.0,1.0,0,0,0,51,1.0,55.0,1
다사70aa57aa,0,0,0,0.02631578947368421,2.0,0.0,0.0,0.75,0,0,0,51,0.7675139491630502,54.54382973863674,2
다사69bb57aa,0,0,1,0.05263157894736842,1.607843137254902,0.0,0.25,0.75,1,0,0,41,0.814631122132672,45.47510583833495,3
다사74aa54aa,1,0,0,0.039473684210526314,1.4509803921568627,0.0,0.0,0.5,0,0,0,37,0.5964042157470552,39.58685829211445,4
다사69bb56bb,0,0,0,0.013157894736842105,1.1764705882352942,0.0,0.0,0.5,0,0,0,30,0.9063856168629881,32.59601409983512,5
다사77aa61aa,0,0,0,0.07894736842105263,1.1372549019607843,0.0,0.0,0.25,0,0,0,29,0.48078115313081216,30.94698342351265,6
다사77aa60bb,0,0,0,0.02631578947368421,1.0196078431372548,0.0,0.0,0.25,0,0,0,26,0.7024178549287042,27.998341487539644,7
다사76bb60ba,0,0,0,0.039473684210526314,0.9803921568627451,0.0,0.0,1.0,0,0,0,25,0.8620582765034097,27.88192411757668,8
다사76bb60bb,1,0,1,0.09210526315789473,0.9411764705882353,0.0,0.25,0.0,0,0,0,24,0.4590824550526968,25.742364188798827,9
다사77bb61bb,0,0,2,0.18421052631578946,0.8627450980392157,0.5,0.5,0.25,0,0,0,22,0.36825790452572843,24.66521352888073,10
다사78aa61bb,0,0,1,0.0,0.8627450980392157,0.0,0.25,0.75,0,0,0,22,0.758834469931804,24.621579567971022,11
다사70ab57aa,0,0,0,0.02631578947368421,0.9019607843137255,0.0,0.0,0.0,0,0,0,23,0.33261004339739614,24.260886617184806,12
다사77aa61ab,0,0,0,0.40789473684210525,0.8627450980392157,0.0,0.0,0.0,0,0,0,22,0.0985740855548667,23.369213920436188,13
다사75ab54ab,0,0,0,0.02631578947368421,0.7450980392156863,0.0,0.0,0.5,1,0,0,19,0.865158090514569,22.136571919203938,14
다사74ab59bb,0,0,0,0.11842105263157894,0.8235294117647058,0.0,0.0,0.0,0,0,0,21,0.17482951022938623,22.116779974625672,15
다사74ab65ba,0,0,0,0.07894736842105263,0.7843137254901961,0.0,0.0,0.25,0,0,0,20,0.5474271543707377,21.660688248281986,16
다사76ba60ab,0,0,1,0.039473684210526314,0.7058823529411764,0.0,0.25,0.75,0,0,0,18,0.6584004959702418,20.403756533121943,17
다사78ab61bb,1,0,0,0.15789473684210525,0.7058823529411764,0.0,0.0,0.0,0,0,0,18,0.5579665220086795,19.42174361179196,18
