"법정동.주소"
"가동리"
"가산리"
"강동"
"강정동"
"고모리"
"관동동"
"괴안동"
"괴정리"
"구산동"
"나전리"
"내덕동"
"내동"
"내룡리"
"내삼리"
"내외동"
"내용없음"
"농소리"
"담안리"
"대감리"
"대동면"
"대병면"
"대성동"
"대청동"
"덕산리"
"덕암리"
"도요리"
"동상동"
"마사리"
"망덕리"
"매리"
"명동리"
"명법동"
"무계동"
"묵방리"
"방동리"
"병동리"
"본산리"
"봉림리"
"봉황동"
"부곡동"
"부곡면"
"부원동"
"북부동"
"불암동"
"사산리"
"산본리"
"산인면"
"삼계동"
"삼랑진읍"
"삼문동"
"삼방동"
"삼안동"
"삼정동"
"상동"
"상동면"
"생림면"
"서상동"
"선지리"
"설창리"
"송정리"
"송현리"
"수가동"
"시례리"
"시산리"
"신문동"
"신안리"
"신용리"
"신월리"
"신천리"
"안곡리"
"안동"
"안양리"
"안하리"
"양동리"
"어방동"
"여래리"
"여차리"
"예안리"
"외동"
"용덕리"
"우계리"
"우동리"
"원지리"
"월촌리"
"유하동"
"율하동"
"응달동"
"의전리"
"이동"
"장방리"
"장유동"
"장유면"
"전하동"
"좌곤리"
"주동리"
"주중리"
"주촌면"
"죽곡리"
"지내동"
"진례면"
"진영리"
"진영읍"
"천곡리"
"청천리"
"초전리"
"초정리"
"칠산서부동"
"퇴래리"
"풍유동"
"하계리"
"한림면"
"한림읍"
"화목동"
"활천동"
"흥동"
